strain,accession,subtype,date,host,country,region,species,broad,order
A/Blue-winged_Teal/Texas/AH0040170S.2.A/2015|2015-01-01,MN254514,H3N8,2015-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/Blue-winged_Teal/Texas/AH0040170S.2.B/2015|2015-01-01,MN254515,H3N8,2015-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/Blue-winged_Teal/Texas/AH0041113S.2.A/2015|2015-01-01,MN254519,H3N8,2015-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI09-4405/2009|2009-09-19,CY140967,H3N6,2009-09-19,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-3317/2010|2010-09-11,EPI750563,H3N8,2010-09-11,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-3376/2010|2010-09-11,CY205563,H3N8,2010-09-11,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-3744/2010|2010-09-16,CY205636,H3N8,2010-09-16,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-3766/2010|2010-09-14,EPI750667,H3N8,2010-09-14,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-3848/2010|2010-09-18,EPI750708,H3N8,2010-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-4179/2010|2010-09-18,EPI751053,H3N8,2010-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-4203/2010|2010-09-18,CY205716,H3N8,2010-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI10-4595/2010|2010-09-18,EPI751131,H3N8,2010-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3100/2011|2011-09-17,CY205822,H3N6,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3220/2011|2011-09-17,CY205901,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3223/2011|2011-09-17,CY205909,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3375/2011|2011-09-17,CY205943,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3387/2011|2011-09-18,CY205969,H3N6,2011-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3407/2011|2011-09-17,CY205977,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3764/2011|2011-09-16,EPI751446,H3N8,2011-09-16,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-3766/2011|2011-09-17,CY206065,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-4014/2011|2011-09-17,CY206097,H3N8,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-4830/2011|2011-09-18,CY206129,H3N8,2011-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI11-4865/2011|2011-09-17,CY206169,H3N6,2011-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI12-3622/2012|2012-09-16,CY206217,H3N8,2012-09-16,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI12-3655/2012|2012-09-17,CY206225,H3N8,2012-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI12-3834/2012|2012-09-16,CY206258,H3N6,2012-09-16,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI12-4394/2012|2012-09-23,CY206274,H3N8,2012-09-23,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI12-4448/2012|2012-09-18,CY206290,H3N6,2012-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI13-3629/2013|2013-09-14,CY206436,H3N8,2013-09-14,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI13-3636/2013|2013-09-14,CY206444,H3N8,2013-09-14,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI13-3971/2013|2013-09-20,CY206494,H3N8,2013-09-20,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI13-4012/2013|2013-09-14,CY206518,H3N8,2013-09-14,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/AI13-4087/2013|2013-09-18,CY206550,H3N8,2013-09-18,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
