strain	accession	subtype	date	host	country	region	species	broad	order
A/chicken/Jiangxi/3269/2022	EPI2595899	H3N8	2022-01-15	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3711/2022	EPI2595473	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3726/2022	EPI2595503	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/37317/2021	EPI2595527	H3N8	2021-12-18	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/37324/2021	EPI2595575	H3N8	2021-12-18	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3758/2022	EPI2595599	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/38623/2021	EPI2595377	H3N8	2021-12-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6485/2022	EPI2595345	H3N8	2022-01-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6499/2022	EPI2595313	H3N8	2022-01-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6927/2022	EPI2595551	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6935/2022	EPI2595915	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6941/2022	EPI2595441	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6946/2022	EPI2595667	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6959/2022	EPI2595811	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6979/2022	EPI2595629	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6991/2022	EPI2595610	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/722/2022	EPI2594240	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/740/2022	EPI2594983	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/772/2022	EPI2594952	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8021/2022	EPI2594920	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8027/2022	EPI2595797	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8047/2022	EPI2595778	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8058/2022	EPI2595759	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8068/2022	EPI2595740	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8076/2022	EPI2595721	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8085/2022	EPI2595016	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8093/2022	EPI2595648	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8520/2022	EPI2595663	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8550/2022	EPI2595644	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8560/2022	EPI2595625	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8591/2022	EPI2595605	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Kerala/CHCL1411100011/2014	MT272370	H3N8	2014-11-28	Avian	India	South Asia	Chicken	chicken	Galliformes
A/chicken/Korea/LPM03/2004	EU301190	H3N2	2004-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM17/2004	EPI126919	H3N2	2004-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM43/2005	EPI126933	H3N2	2005-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM44/2005	EPI126935	H3N2	2005-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM61/2005	EPI126939	H3N2	2005-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM67/2006	EPI126943	H3N2	2006-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/LPM88/2006	EPI126947	H3N2	2006-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Korea/S6/03	EPI25995	H3N2	2003-01-01	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/chicken/Laos/A0573/2007	EPI180876	H3N8	2007-01-01	Avian	Laos	Southeast Asia	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-020/2001	AY180720	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180749	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-220/2000	AY180745	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-301/2000	AY180714	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-120/2001	AY180729	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-220/2001	AY180752	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-120/2001	AY180761	H3N2	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-201/01	AY180763	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
