strain	accession	subtype	date	host	country	region	species	broad	order
A/northern_shoveler/Alaska/7MP1606/2007	CY044013	H3N8	2007-09-04	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/Alaska/7MP1668/2007	CY044029	H3N8	2007-09-07	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/Alaska/7MP1669B/2007	EPI296952	H3N8	2007-09-02	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/Alaska/7MP1708/2007	EPI222405	H3N8	2007-09-03	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/Alaska/UGAI15-7320/2015	EPI973550	H3N8	2015-09-30	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1021/2007	EPI159442	H3N7	2007-12-02	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1046/2007	EPI159450	H3N5	2007-12-02	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1046C/2007	EPI328049	H3N5	2007-12-02	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1131/2007	EPI159466	H3N5	2007-12-02	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1199/2007	EPI159482	H3N5	2007-12-05	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1201/2007	EPI154560	H3N5	2007-12-05	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF1367/2007	EPI159490	H3N7	2007-12-12	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF569/2007	EPI178813	H3N1	2007-11-10	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/California/HKWF848/2007	EPI160348	H3N7	2007-11-28	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
